City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Hithadhoo,MV,2021-01-30 17:00:38,-0.6,73.0833,82.89,75,78,13.2
142,Torbay,CA,2021-01-30 17:00:39,47.6666,-52.7314,30.99,86,90,18.41
143,Tuktoyaktuk,CA,2021-01-30 17:00:39,69.4541,-133.0374,-36.4,67,20,2.1
144,Awbari,LY,2021-01-30 17:00:40,26.5921,12.7805,61.72,31,0,4.83
145,Port Lincoln,AU,2021-01-30 16:56:33,-34.7333,135.8667,59.63,81,9,12.73
146,Tiksi,RU,2021-01-30 17:00:40,71.6872,128.8694,-26.36,86,100,5.57
147,Beringovskiy,RU,2021-01-30 17:00:40,63.05,179.3167,-12.86,89,100,14.94
148,Khani,GE,2021-01-30 17:00:40,41.9563,42.9566,42.8,87,0,10.36
149,Kabompo,ZM,2021-01-30 17:00:41,-13.5927,24.2008,70.3,87,90,1.72
150,Sao Sebastiao,BR,2021-01-30 16:58:18,-23.76,-45.4097,86.59,60,58,3.13
151,Pangnirtung,CA,2021-01-30 17:00:41,66.1451,-65.7125,-9.4,77,1,2.66
152,Dzhebariki-Khaya,RU,2021-01-30 17:00:41,62.2167,135.8,-50.28,75,69,1.05
153,Waipawa,NZ,2021-01-30 17:00:42,-41.4122,175.5153,51.8,87,56,3.44
154,Mehamn,NO,2021-01-30 17:00:42,71.0357,27.8492,26.04,97,100,22.15
155,Huarmey,PE,2021-01-30 16:56:40,-10.0681,-78.1522,77.04,60,92,12.06
156,Bethel,US,2021-01-30 16:58:51,41.3712,-73.414,21.0,49,1,8.05
157,Haines Junction,CA,2021-01-30 16:56:24,60.7522,-137.5108,-14.8,84,100,1.14
158,Laguna,US,2021-01-30 16:56:36,38.421,-121.4238,46.99,87,90,2.33
159,Port Hawkesbury,CA,2021-01-30 17:00:42,45.6169,-61.3485,30.0,68,90,17.27
160,East London,ZA,2021-01-30 17:00:43,-33.0153,27.9116,73.4,83,75,10.36
161,Baykit,RU,2021-01-30 17:00:43,61.67,96.37,-34.37,75,14,2.28
162,Powell River,CA,2021-01-30 17:00:43,49.8496,-124.5361,42.8,87,90,16.11
163,Victoria,HK,2021-01-30 16:58:01,22.2855,114.1577,62.01,77,1,1.01
164,Port Alfred,ZA,2021-01-30 17:00:44,-33.5906,26.891,71.01,84,0,1.01
165,Salisbury,GB,2021-01-30 17:00:44,51.0693,-1.7957,41.0,100,90,20.71
166,Vardo,NO,2021-01-30 17:00:44,70.3705,31.1107,28.4,93,75,25.32
167,Acarau,BR,2021-01-30 17:00:45,-2.8856,-40.12,87.13,60,74,19.08
168,San Cristobal,VE,2021-01-30 17:00:45,7.7669,-72.225,82.4,57,40,10.36
169,Narsaq,GL,2021-01-30 17:00:45,60.9167,-46.05,41.0,30,75,35.68
170,Mendi,PG,2021-01-30 17:00:46,-6.1761,143.6513,56.32,98,100,1.83
171,Roma,US,2021-01-30 16:56:05,43.2128,-75.4557,15.01,67,90,5.75
172,Kirakira,SB,2021-01-30 17:00:46,-10.4544,161.9205,77.81,86,100,7.0
173,Outjo,NA,2021-01-30 17:00:47,-20.1167,16.15,76.71,63,99,9.15
