City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Terrace,CA,54.5163,-128.6035,26.6,80,90,13.8,light snow
225,Nanortalik,GL,60.1432,-45.2371,32.05,91,100,7.63,overcast clouds
226,Thompson,CA,55.7435,-97.8558,15.8,86,90,4.61,light snow
227,Rawlins,US,41.7911,-107.2387,30.2,51,1,4.61,clear sky
228,Santarem,BR,-2.4431,-54.7083,84.2,79,75,6.91,broken clouds
229,Codrington,AU,-38.2667,141.9667,52.86,85,100,6.02,overcast clouds
230,Altamont,US,42.2068,-121.7372,42.8,61,75,17.27,broken clouds
231,Tiksi,RU,71.6872,128.8694,-26.7,86,100,6.8,overcast clouds
232,Palana,RU,59.1167,159.9667,-4.56,93,100,24.16,overcast clouds
233,Atuona,PF,-9.8,-139.0333,78.33,76,99,18.48,overcast clouds
234,Manado,ID,1.487,124.8455,75.2,100,40,2.3,scattered clouds
235,Tiruchchendur,IN,8.4833,78.1167,78.31,83,100,17.16,overcast clouds
236,High Prairie,CA,55.4334,-116.4858,10.4,79,0,3.44,clear sky
237,Areia Branca,BR,-4.9561,-37.1369,93.2,52,20,18.41,few clouds
238,Cayenne,GF,4.9333,-52.3333,84.2,70,75,12.66,broken clouds
239,Waterford,US,42.7023,-83.4027,28.99,80,90,10.36,light snow
240,Lagoa,PT,39.05,-27.9833,62.08,86,100,26.02,overcast clouds
241,Inzer,RU,54.2167,57.5556,22.06,92,26,5.5,scattered clouds
242,Buala,SB,-8.145,159.5921,81.7,80,100,14.16,overcast clouds
243,Akyab,MM,20.15,92.9,62.74,41,73,9.46,broken clouds
244,Beringovskiy,RU,63.05,179.3167,11.34,96,100,25.7,snow
245,Chateaudun,FR,48.0833,1.3333,50.0,93,100,11.5,light rain
246,Touros,BR,-5.1989,-35.4608,84.2,61,20,17.27,few clouds
247,Mao,ES,39.8885,4.2658,55.4,76,0,8.05,clear sky
248,Mollendo,PE,-17.0231,-72.0147,73.92,62,5,9.91,clear sky
249,Sakakah,SA,29.9697,40.2064,53.6,32,0,5.97,clear sky
250,Kruisfontein,ZA,-34.0033,24.7314,73.99,72,33,8.99,scattered clouds
251,Carutapera,BR,-1.195,-46.02,83.26,71,6,10.02,clear sky
252,Esperance,AU,-33.8667,121.9,57.2,94,16,5.75,few clouds
253,Vidim,RU,56.4088,103.1106,-38.6,80,31,2.84,scattered clouds
254,Moron,AR,-34.6534,-58.6198,69.01,83,90,13.8,overcast clouds
255,Luderitz,NA,-26.6481,15.1594,67.1,69,1,23.64,clear sky
256,Sistranda,NO,63.7256,8.834,32.0,86,20,19.57,few clouds
257,Khatanga,RU,71.9667,102.5,-42.45,80,36,6.76,scattered clouds
258,Muzhi,RU,65.3667,64.6667,-17.63,88,95,4.85,overcast clouds
259,Avera,US,33.194,-82.5271,59.0,97,90,5.75,moderate rain
260,Najran,SA,17.4924,44.1277,59.0,38,0,2.3,clear sky
261,Umm Kaddadah,SD,13.6017,26.6876,68.85,21,0,12.24,clear sky
262,Cairns,AU,-16.9167,145.7667,75.2,88,93,9.22,overcast clouds
263,Labuhan,ID,-6.8844,112.2051,77.7,81,100,11.39,overcast clouds
264,Eyl,SO,7.9803,49.8164,72.99,73,0,14.27,clear sky
265,Betong,TH,5.7743,101.0723,69.8,93,97,2.26,overcast clouds
266,Belyy Yar,RU,53.6039,91.3903,-20.2,83,62,0.58,smoke
267,Alice Springs,AU,-23.7,133.8833,84.0,36,53,1.14,broken clouds
268,Maravilha,BR,-26.7608,-53.1725,73.99,84,100,1.97,overcast clouds
269,Alta Floresta,BR,-9.8756,-56.0861,87.8,66,40,6.91,moderate rain
270,Kaili,ID,-3.4626,120.2147,67.68,89,100,2.48,overcast clouds
271,Sovetskiy,RU,61.3614,63.5842,1.6,94,100,7.7,overcast clouds
272,Ponta Delgada,PT,37.7333,-25.6667,63.0,88,75,14.97,broken clouds
273,Tahlequah,US,35.9154,-94.97,39.99,81,90,19.57,overcast clouds
274,Lahat,ID,-3.8,103.5333,72.59,83,99,1.07,overcast clouds
275,Lumeje,AO,-11.55,20.7833,67.26,81,98,5.55,overcast clouds
276,Sechura,PE,-5.5569,-80.8222,84.65,48,9,14.45,clear sky
277,New Norfolk,AU,-42.7826,147.0587,55.0,65,12,1.7,few clouds
278,Sonta,RS,45.5947,19.0981,32.0,93,90,10.36,light snow
279,Pangody,RU,65.85,74.4859,-4.86,92,100,8.43,light snow
280,Tucupita,VE,9.0622,-62.051,82.54,72,61,7.9,broken clouds
281,At-Bashi,KG,41.1702,75.8106,20.19,76,100,1.39,overcast clouds
282,Mangan,IN,27.5167,88.5333,49.37,44,17,3.69,few clouds
283,Gushikawa,JP,26.3544,127.8686,60.8,87,1,5.75,clear sky
284,Sinnamary,GF,5.3833,-52.95,79.47,77,32,14.92,scattered clouds
285,Geraldton,AU,-28.7667,114.6,68.0,77,0,2.3,clear sky
286,Mount Gambier,AU,-37.8333,140.7667,53.6,94,98,4.61,overcast clouds
287,Grand Baie,MU,-20.0182,57.5802,81.0,75,53,7.0,broken clouds
288,Polyarnyy,RU,69.1989,33.4478,-4.0,84,75,2.24,broken clouds
289,Zaysan,KZ,47.4667,84.8667,1.54,85,7,0.56,clear sky
290,Powell River,CA,49.8496,-124.5361,46.99,93,75,9.22,broken clouds
291,Husavik,IS,66.0449,-17.3389,3.2,85,0,4.61,clear sky
292,Kieta,PG,-6.2167,155.6333,81.18,79,100,11.63,overcast clouds
293,Arrifes,PT,37.7667,-25.7,63.0,88,75,14.97,broken clouds
294,Paveh,IR,35.0434,46.3565,32.99,91,94,1.16,overcast clouds
295,Nakamura,JP,32.9833,132.9333,41.16,83,0,2.53,clear sky
296,Aswan,EG,24.0934,32.907,60.91,31,0,7.63,clear sky
297,Bud,US,39.447,-86.1758,35.01,98,100,7.23,snow
298,Port Augusta,AU,-32.5,137.7667,68.0,83,100,10.36,overcast clouds
299,Laguna,US,38.421,-121.4238,63.0,47,1,9.22,clear sky
300,Hofn,IS,64.2539,-15.2082,26.26,75,0,11.12,clear sky
301,Santa Rosa,PH,14.3122,121.1114,75.2,78,40,1.14,scattered clouds
302,Urusha,RU,54.05,122.9,-33.11,78,91,3.44,overcast clouds
303,Umm Lajj,SA,25.0213,37.2685,69.53,52,0,13.06,clear sky
304,Westport,US,41.1415,-73.3579,24.01,45,40,5.75,scattered clouds
305,Ormoz,SI,46.4114,16.1544,32.0,86,90,6.91,overcast clouds
306,Inhambane,MZ,-23.865,35.3833,80.33,84,0,7.34,clear sky
307,Grindavik,IS,63.8424,-22.4338,30.2,74,0,6.91,clear sky
308,Bilibino,RU,68.0546,166.4372,-15.0,82,100,7.11,overcast clouds
309,Road Town,VG,18.4167,-64.6167,80.6,78,75,16.11,broken clouds
310,Sayyan,YE,15.1718,44.3244,48.74,43,0,4.47,clear sky
311,Pisco,PE,-13.7,-76.2167,80.6,54,0,14.97,clear sky
312,Chake Chake,TZ,-5.2459,39.7666,78.75,76,100,13.73,overcast clouds
313,Paka,MY,4.6374,103.4368,78.8,89,100,6.91,overcast clouds
314,Kisangani,CD,0.5167,25.2,74.5,61,95,1.92,overcast clouds
315,Souillac,MU,-20.5167,57.5167,80.6,78,75,11.5,broken clouds
316,Shingu,JP,33.7333,135.9833,40.68,70,0,4.92,clear sky
317,Nara,JP,34.6851,135.8049,36.0,69,0,2.82,clear sky
318,Mukhen,RU,48.1,136.1,-9.44,84,100,3.33,light snow
319,Solano,US,38.2333,-121.9511,60.01,63,1,2.71,clear sky
320,Ternate,ID,0.8,127.4,78.46,72,100,5.68,overcast clouds
321,Port Lincoln,AU,-34.7333,135.8667,61.36,80,100,12.73,light rain
322,Derby,GB,52.9228,-1.4766,35.01,75,0,9.22,clear sky
323,Deputatskiy,RU,69.3,139.9,-33.16,86,96,1.7,overcast clouds
324,Murgab,TM,37.4966,61.9714,42.8,75,0,4.05,clear sky
